bid,page
12486355,2
12320167,7
10924505,123
11211133,134
12318952,5
12071674,41
7262295,203
12143302,24
12443866,1
12210808,8
12022296,26
12235899,5
12210807,19
12318953,2
12485922,1
7102772,465
10962059,88
12495377,1
12471755,6
12226782,1
12183297,11
2623907,52
12071985,14
11837875,41
9126761,16
9780781,109
12484319,1
12011269,23
12470879,1
12452635,1
12452643,1
11184159,30
12500695,1
12500670,2
11346623,25
10976112,24
12257387,8
12470533,2
12481749,1
12307519,3
12506775,1
12496161,1
12085033,5
12506773,1
12085032,27
10651869,33
12506722,1
12270860,1
12332478,2
10581742,1
12343436,5
12152498,15
12344293,2
12471762,1
12443718,1
12484831,1
12209976,3
10347313,18
10462544,2
12210483,1
7615129,125
12285299,2
10785953,48
12344258,1
8339910,444
12277851,4
12343397,1
12451288,1
12327332,4
12495567,1
12485952,7
10373169,2
12507656,1
12320696,2
10482576,2
12430548,2
12231827,1
12284894,2
12430535,3
12481690,1
12506782,1
10359171,2
11912107,2
12471319,2
10921488,10
12471497,1
6237489,18
12444074,4
12344328,1
12485139,1
10527683,1
151055,99
10527684,1
12284896,1
7150363,116
12236186,2
7250493,3
12206692,1
12429938,1
12495197,2
8403038,173
12102133,1
12485125,1
12307462,2
11417251,2
12308935,1
12496160,1
12102137,1
12495948,1
11771341,4
8889046,136
12227347,1
12484675,2
12194998,1
12485126,1
12125947,3
12443896,4
10373170,2
12342661,1
12257382,1
12471474,1
12506770,1
12481757,1
12320666,2
6676728,17
11555605,1
12149595,6
12428699,1
12277703,4
10514429,3
12517988,1
12248608,4
12247891,1
11967245,1
11821551,7
12486169,1
12471569,2
12299324,4
12443618,1
12484830,1
12429942,6
6340899,44
12320288,1
10370395,1
12343389,1
6961076,70
10128291,26
12285284,4
12195295,8
12481857,4
12428742,2
11792225,6
12271173,2
11523915,38
12495996,3
12211445,1
12298448,1
12270837,1
12507240,1
12236118,9
12470481,1
12484667,1
6586721,234
12248590,1
11738082,1
12471258,1
12471766,2
12430923,1
12071063,7
12231325,1
12508334,1
11619571,1
8657103,64
10835696,68
12307297,1
12501095,1
12049040,1
12258358,1
12481770,1
11883701,15
12438525,7
12298436,7
63951,21
12254298,6
12484669,1
11629840,2
12285534,1
12344943,1
11525818,12
7100032,43
10406876,1
12183063,1
8273055,76
12507234,1
12247499,2
10867387,1
12006042,1
9916754,2
9180979,1
12166016,13
11154654,1
12236682,1
12518959,1
6829100,43
12194999,12
10453686,34
12484552,1
10527719,3
12500669,1
6938004,4
12210973,1
6034014,1
5186,136
12167068,5
12236684,1
12439125,1
11514691,1
12518950,1
12506778,1
6588216,1
11576063,31
12253970,6
12517976,1
12438355,1
12270872,1
10558260,6
12496216,1
12270819,1
12344349,2
12269642,1
12481274,1
1271,50
12126070,7
11526167,3
11166008,53
12331629,1
12231800,1
12451290,1
10161265,14
125627,88
12481273,1
12495229,1
7332934,1
10492868,1
11823571,10
10527680,1
12496205,1
12077812,6
12181921,1
12496758,1
8374306,31
12451282,1
12470545,6
12101911,1
12506753,1
12481686,1
12327334,1
10527679,1
12298650,3
7288705,2
10808431,29
2524488,13
12277504,1
12485934,1
12208120,1
7052468,5
7768709,62
12107061,6
12484393,1
9916753,1
6678691,19
9041182,20
12438361,2
6869354,117
12344244,1
12430004,2
12270464,4
2084345,75
12453004,2
12022400,21
12270189,1
10867384,2
10824315,1
12507655,1
11514687,1
11366536,2
12518944,1
12283757,1
10567640,106
11662984,1
12058306,2
11823575,5
8723526,1
12299249,2
12226146,1
10462578,43
12236132,3
12495181,1
12284952,1
12496195,1
12207082,1
12022407,1
12506677,1
12270809,3
10823927,68
12269167,2
11802243,24
11536466,10
12319069,3
12452308,1
12332829,2
10991768,1
12506768,1
12496713,1
3309417,258
9991568,36
12235611,1
4320224,66
12470583,1
12321098,1
12308216,1
12298440,1
12203764,2
9127431,56
11956441,2
11053093,1
12430414,1
6607389,79
7320020,20
12495182,1
12507669,1
12507781,1
12181882,1
12307242,1
12022379,5
12118601,1
12428731,1
12481119,1
12452618,1
12343386,1
12443734,1
12285333,1
12247548,1
12109123,11
11795690,1
10769874,50
11491959,1
12428761,1
12283701,4
12320120,1
12226680,4
12500907,1
11022572,3
10558261,5
12481827,1
11213320,3
12453037,1
11535319,2
12284853,1
12236733,1
10235811,1
12471775,1
10768471,3
9916752,2
11055357,1
10645296,6
12519013,1
11895278,1
12258714,1
10768452,18
8967944,7
10406877,1
10235810,1
12077871,12
12495395,1
12058309,1
10786045,1
10823379,21
10786609,1
12231552,5
12471454,1
12452616,1
12299959,1
10660885,3
12257945,5
12501019,1
11601632,1
12438795,2
12485477,1
10007513,60
12496218,1
11637407,1
12444076,1
12285514,1
12195050,1
12495963,1
11433426,62
12210526,1
12054121,1
10962061,85
12285279,4
9220655,13
6341584,43
9878062,1
12199104,1
12496244,1
12257432,3
10019124,3
12518153,1
6626639,19
11038411,1
12226543,1
12154020,1
12285540,2
7366535,3
12226156,2
12471316,1
12443840,1
12277699,1
12486663,1
12506678,1
6989432,2
7441324,1
11124249,1
12486179,1
6393451,12
12049213,11
10046541,3
10503576,1
8063622,18
11464001,1
11491962,1
9180875,1
12248125,1
11792166,2
12235875,1
7144008,2
12443640,1
7052466,11
12486380,1
12507659,1
12431329,2
8882146,8
12343440,2
12471748,1
7202413,237
12443726,1
10527681,1
12500841,4
9923990,2
12210093,1
11068525,2
12247694,4
10336962,1
12484483,1
11735398,1
12472154,1
10503884,22
9005102,4
7463467,1
8819703,16
11822433,25
8020332,2
10527682,1
11838072,3
9566456,24
12166571,1
12258321,1
6206142,100
8007844,1
12258341,8
12307212,1
12211437,1
12210465,1
11666160,1
11472779,1
1490678,22
12118901,5
12453050,1
12257070,1
12284473,4
6980859,8
12518687,1
12496230,1
12471295,1
12452359,2
12485911,1
12484804,1
10370447,18
12269917,6
11629545,19
11930275,1
12308765,1
12270137,4
9345174,13
12119380,2
12443600,1
12285538,4
12481735,1
12471321,1
7143947,10
6594146,1
12343498,1
12500834,1
152078,5
11869292,4
12118172,1
12113858,25
12501205,1
12304292,1
9743475,28
11492334,1
12452294,1
12199130,2
6777576,1
12430572,1
12438821,1
12083832,3
12518820,1
11463225,12
10844666,1
12182774,6
12485479,1
12128880,1
10859302,10
12107035,3
6068296,1
9916755,1
7768289,2
9700399,28
7320017,9
7274735,2
6271757,6
12320206,2
12452613,1
12485881,1
12506781,1
11022571,1
9877231,5
12495373,1
12343407,3
12438829,2
6886900,11
12198335,6
8364798,1
11184502,17
8991290,8
12167399,3
11014858,4
2509332,5
7718570,1
11629405,1
12438367,1
7412972,7
12452289,1
12299943,4
12506759,1
12471416,1
12166060,1
159722,69
9071465,1
5151,99
12113946,1
10995089,1
9770312,2
12010633,8
6884054,8
12009414,7
11738557,11
11665807,15
6976380,1
9585792,1
115674,3
9220379,2
8095518,7
12308642,3
12307187,1
11601633,1
12198515,4
12235794,2
12481229,1
12506928,1
8796511,1
12299545,1
5333310,24
6458569,16
7662984,14
11612312,14
9640055,2
11992241,1
11134223,1
12270701,1
11123507,1
12283600,2
12152458,1
11750147,1
12175142,4
12152757,2
12471744,1
12320694,2
12256508,1
12426149,1
12443699,1
12344942,1
12210095,1
12210069,1
6059147,1
12496755,1
11322800,1
5180,99
12470816,2
1877597,101
12429933,1
12121494,1
7290748,56
12258366,1
12247878,1
12508179,1
12470540,1
12481711,1
12495397,1
10933215,8
12481187,1
12500982,1
12299996,3
12175343,1
11957282,1
12307230,1
12270139,1
11757356,1
11737603,1
12210472,1
12153526,31
8820033,1
9229948,1
12277462,1
12226434,1
116059,1
12472192,1
11612414,2
12307295,1
12258334,4
12304259,2
12471475,1
12471352,1
12428760,1
11587712,28
7413895,1
11573148,1
2920418,33
11957283,1
12430908,2
10370384,10
11356105,14
12119003,5
7204546,1
6737822,190
10290989,3
11332186,6
10086025,6
12206702,1
12426042,1
10768472,1
12283822,3
11356023,1
8095573,1
4667608,2
12256890,2
12506718,1
11777658,3
12508180,1
11771027,2
12507993,1
11526657,1
12107977,1
9273234,1
12429971,2
12106032,1
10933311,4
6031338,14
8018469,6
180381,12
10660713,1
7305218,13
9992385,21
2079966,2
8550376,2
6963604,4
12235350,1
183729,9
12343425,1
12166063,1
11957070,3
9168572,14
11491956,1
12270619,2
12320375,3
12235969,1
12054210,2
11637481,1
10086877,7
12167072,5
12481696,1
11618560,1
11802102,1
12452615,1
12343472,3
12481175,1
12320378,4
12481839,1
12332096,2
6883279,2
7919364,1
12236119,1
11895783,3
172781,33
6992205,18
7528272,1
10961900,67
11134222,1
11618438,4
11481151,2
8989269,3
12175182,1
7850071,2
11480739,1
12257862,2
12304265,5
12470482,1
6063017,1
7147367,31
11536071,1
11296737,4
7441326,1
7444546,1
12471477,1
10728191,1
10207413,1
9983261,1
12299254,1
12298644,1
12333229,1
12485112,1
12481738,1
11575805,1
12129895,1
12106358,2
9910113,1
12166987,2
12226670,1
11305962,1
12496208,1
9053751,175
8943037,58
12485138,2
7437882,78
20349,242
7188340,6
10590147,6
11332741,2
11197896,3
12231564,1
1507354,11
6773497,3
11355892,3
12210482,1
12175193,1
12332482,1
12119149,2
45482,1
12143276,1
10307784,1
12428540,1
12299251,1
12318893,1
12254080,1
12235368,1
6056009,1
8824523,1
12344163,2
11544330,1
12320241,1
12481698,1
12485114,1
12471796,1
12496753,1
6200221,134
125192,97
8994698,16
6800163,18
11243168,22
11659498,27
8163227,1
10052052,5
11270889,1
10962064,4
10867389,1
12058790,3
8825922,1
12430561,1
7152669,20
12235891,1
12072501,5
10910878,5
12225421,1
12299549,1
12428726,1
12236791,1
12307219,1
7102167,1
7493110,5
9101190,1
12344239,1
12430924,1
12198317,3
12430370,1
12486208,1
12471425,1
12495947,1
11772416,1
170132,36
174820,37
64853,409
4685812,79
7406625,25
11771909,8
12149796,6
12106011,2
6692966,11
12181455,1
12129939,2
4569434,53
11491358,1
7241400,32
12307238,1
11869761,1
12181413,3
7275791,26
11504595,3
11991272,5
1461974,1
10290125,1
12211025,4
11783861,1
10107728,4
12320377,2
12256519,1
11480737,1
12236676,5
6860424,1
6598613,1
12344209,1
12095396,1
11714476,1
7434505,1
10207435,1
12430586,1
11536098,1
12332058,3
12320155,1
12428562,1
12428775,1
12485908,1
12049321,1
12451627,1
12451628,1
12495218,5
11297057,7
5188,145
11211612,21
9820843,9
10702572,8
12318901,1
9595780,47
8518884,1
140137,25
11463103,16
12285222,1
9991878,4
11575284,8
11223390,1
10832739,5
9981885,1
11480742,1
12307259,1
8305444,7
12308200,4
12256428,1
11481157,2
9529667,2
12518643,1
12439170,1
12307520,4
12472170,1
7301452,5
12486339,1
7162754,1
185289,21
11369421,2
12443611,2
10963754,5
2500218,16
10794719,13
11991843,5
12118193,1
6002739,120
12059148,1
6994663,27
12257066,1
12121115,1
8064159,1
8539163,4
10495836,1
1533263,3
11228431,1
12166302,2
12270385,1
11659363,1
12285349,1
10771081,4
9078379,8
8522052,2
11492025,1
12470483,1
12247678,1
12254000,1
12299957,2
12428767,1
3104573,1
12095879,1
12210067,2
12308447,2
7275362,4
8823902,1
11737496,1
12481159,1
12438349,1
12471479,1
11792140,1
12270621,2
12481731,1
11514776,1
10415423,1
12470555,1
12495950,1
12496128,1
12496163,1
11783872,1
12495334,1
11956246,1
11172537,1
10129166,91
7088498,1
11771332,1
5202,58
6383547,6
11242999,13
7125468,8
6018863,6
11824702,8
11418001,9
11576635,2
203699,55
12106353,1
11957335,3
8638831,7
12235888,2
6637028,17
12130106,1
11433400,1
8817104,31
10710327,4
8500926,1
9511785,7
10963728,1
12277788,1
11281915,1
12152481,1
10700942,1
6225830,1
12299341,3
11945571,3
12210994,2
12113832,1
8063629,4
11020309,1
11472743,2